課程編號,課程名稱,英文名稱,班級,修別,學分,系所,學制,開課年級,任課教師,上課時間,上課教室,授課語言,選別,備註,SemesterCourseName
130003,程式設計(上),Programming (1),0,基礎院本課程必修,3,資訊管理學系,學士班,1,鄭育評,2bcd,管371,國語,必修,,"<a href=""https://sis.ncnu.edu.tw/b09/b09120/view/89326"">程式設計(上)</a>"
130063,經濟學與實習(上),Economics (1),0,基礎院本課程必修,3,資訊管理學系,學士班,1,王育民,4bcd,管371,國語,必修,,"<a href=""https://sis.ncnu.edu.tw/b09/b09120/view/89327"">經濟學與實習(上)</a>"
130066,統計學與實習(上),Statistics (1),0,基礎院本課程必修,3,資訊管理學系,學士班,2,洪嘉良,5bcd,管226,國語,必修,,"<a href=""https://sis.ncnu.edu.tw/b09/b09120/view/89328"">統計學與實習(上)</a>"
130065,微積分與實習(上),Calculus (1),0,專業必修,3,資訊管理學系,學士班,1,黃俊哲,3bcd,管215,國語,必修,,"<a href=""https://sis.ncnu.edu.tw/b09/b09120/view/89329"">微積分與實習(上)</a>"
130021,資料結構與演算法(上),Data Structures and Algorithms (1),0,專業必修,3,資訊管理學系,學士班,2,游子宜,3bcd,管371,國語,必修,,"<a href=""https://sis.ncnu.edu.tw/b09/b09120/view/89330"">資料結構與演算法(上)</a>"
130032,資料庫管理系統,Data Base Management System,0,專業必修,3,資訊管理學系,學士班,2,陳建宏,4fgh,管268,國語,必修,,"<a href=""https://sis.ncnu.edu.tw/b09/b09120/view/89331"">資料庫管理系統</a>"
130044,資訊管理專題與個案(下),Project(II),a,專業必修,3,資訊管理學系,學士班,4,簡宏宇,3hij,管B24,國語,必修,,"<a href=""https://sis.ncnu.edu.tw/b09/b09120/view/89332"">資訊管理專題與個案(下)</a>"
130031,軟體工程,Software Engineering,0,專業選修,3,資訊管理學系,學士班,3,陳建宏,2bcd,管241,國語,選修,,"<a href=""https://sis.ncnu.edu.tw/b09/b09120/view/89333"">軟體工程</a>"
130040,作業系統,Operating Systems,0,專業選修,3,資訊管理學系,學士班,3,姜美玲,4bcd,管228,國語,選修,,"<a href=""https://sis.ncnu.edu.tw/b09/b09120/view/89334"">作業系統</a>"
130077,網頁程式設計,Web Programming,0,專業選修,3,資訊管理學系,學士班,3,陳彥錚,"2ij,3bcd","A101,管226",國語,選修,正課時間：3bcd，教室：管226；實習課時間：2ij，教室：教A101；實習課相關資訊請參閱課綱。,"<a href=""https://sis.ncnu.edu.tw/b09/b09120/view/89335"">網頁程式設計</a>"
130091,資訊系統開發與實務(一),Practicum for Information Systems(1),0,專業選修,3,資訊管理學系,學士班,2,戴榮賦,3efg,管215,國語,選修,,"<a href=""https://sis.ncnu.edu.tw/b09/b09120/view/89336"">資訊系統開發與實務(一)</a>"
130094,Linux 系統管理實務（一，入門）,"Practical Linux System Administration - Level I, Basic",0,專業選修,3,資訊管理學系,學士班,3,練喆明,4hij,管228,國語,選修,,"<a href=""https://sis.ncnu.edu.tw/b09/b09120/view/89337"">Linux 系統管理實務（一，入門）</a>"
